GeneID,Sensitive_azt0,Sensitive_azt2,Resistant_azt0,Resistant_azt2,Resistant_azt4
PP_1144,47.9953103,72.80142048,56.43952658,118.0046572,88.94040996
PP_1156,77.98422214,87.52113573,84.36462894,75.67367555,88.35077566
PP_1167,46.47111739,106.1715184,37.82711752,72.52915947,126.9743776
PP_1169,38.63464998,57.87599153,32.67288611,47.47999287,51.70437608
PP_1177,1441.325979,1859.580797,1659.717229,1504.435619,1741.800024
PP_1179,840.1245213,1169.708303,929.0168009,846.0328839,1096.124632
PP_1183,32.70458817,42.48398233,38.40863385,40.81358284,49.26851496
PP_1188,147.4449312,163.7959158,79.94275417,152.1054966,167.8014835
PP_1200,180.0809749,178.9698517,216.3621843,213.4364604,186.6837684
PP_1205,546.3579197,569.4879701,516.8276468,502.6927959,610.4541237
PP_1213,897.5768648,895.4090372,846.8481282,660.996871,879.5449181
PP_1225,70.60510777,78.07138267,69.01750634,62.21860941,73.78338559
PP_1226,78.48608396,74.66551565,73.77766402,92.10480635,83.65254858
PP_1229,64.62253708,77.61117808,62.12491643,89.00019144,91.66868454
PP_1231,267.1003062,242.5922779,269.3832837,242.2453304,249.5873872
PP_1235,189.0765697,146.7072052,168.5519164,149.4697389,152.2335697
PP_1237,756.8092899,778.6727904,778.012711,717.0385913,770.9932362
PP_1240,660.356753,648.4059168,684.6729729,584.8178362,621.0859628
PP_1251,283.5972765,246.6720572,222.1927999,235.5706052,262.236088
PP_1258,13.70590389,13.21515109,10.66097516,11.93525041,11.52646347
PP_1277,60.45970143,58.22838642,57.56238187,60.44253121,53.6361676
PP_1278,15.28243697,20.14732792,20.41300981,20.57612994,17.46777506
PP_1279,9.150677153,9.019301029,5.608741351,5.958505601,4.376874439
PP_1280,91.99626416,93.4162889,90.75243038,95.89037906,85.14644111
PP_1281,13.53004707,10.90833934,9.787382703,9.716989918,13.37898768
PP_1282,98.20220529,88.27268065,100.4166175,87.29190844,77.26128164
PP_1283,165.1918271,145.0853453,145.9096464,135.6732164,129.7911257
PP_1284,13.85909307,16.13986341,16.71558394,11.97267867,16.16042586
PP_1285,17.12232395,15.40043905,11.20476846,16.00695336,18.58083099
PP_1286,15.77250354,16.55326484,16.40426751,18.45605275,16.26529958
PP_1287,67.06582887,54.93993984,62.17527433,63.81836924,63.84945786
PP_1288,59.25837617,63.8211597,58.34152134,59.96295549,64.08386197
PP_1292,81.09661086,71.73694386,67.34798845,72.9708587,64.84168585
PP_1293,22.2082947,18.27683384,20.75959492,20.62644063,14.68198657
PP_1294,50.13374424,36.23327682,45.54954743,40.85602657,37.36173515
PP_1297,166.8591995,247.8233438,188.4938637,278.1395567,240.8945923
PP_1303,339.1549804,362.055542,298.3471505,263.6191421,377.0029628
PP_1304,741.5010252,810.5132674,784.1508973,587.6637741,732.8064892
